District_Name,Area,Rain_Fall,Temp,Humidity,Production
Ambala,720007,1274.78,27.02916667,73.275,622219.2
Bhiwani,1872251,1412.3,27.12,71.43333333,2047905.7
Faridabad,1463707,1246.26,26.00333849,75.275,2080262.5
Gurugram,2361199,1339.7,27.34,71.15833333,3938172.3
Hisar,550656,1322.14,27.6,76.54333333,556928.9
Jhajar,1349348,1261.32,26.61118056,70.35902369,2068288.8
Jind,349158,1637.34,27.57,80.05,337630.1
kaithal,774462,1205.66,27.74669211,78.45642021,1048906
karnal,321976,1398.96,27.355,75.4212963,389759.7
kurushetra,2126176,1318.48,27.63,69.93333333,2690376.3
mahendragargh,832269,1198.16,26.68972222,67.45378472,1095936.6
Nuh,1035244,1360.8,25.42,70.325,1247037.9
Palwal,344029,1418.12,25.6055347,75.79577206,330153.2
panchkula,1941421,1386.9,27.43002451,75.67884528,2394944.5
panipat,350138,1505.94,27.13284722,76.35069036,362701.9
rewari,1138246,1543.36,25.3575,77.03333333,1253401.8
rohtak,1243351,1421.38,27.50916667,77.06333333,1383709.8
sirsa,815055,1469.28,27.18,73.395,1016574.8
sonipat,1051768,1367.72,26.06430921,67.78645833,2013974
yamunanagar,760658,1315.4,26.90803255,73.10454044,716720.6
Charkhi dadri,2078364,1417.18,26.87286269,65.03523944,2340308.2
Fatehbad,1443499,1386.26,26.58943805,71.99024806,2326787
