District ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Actual,Normal,% of Dev
Ambala,0,16,3.3,32.7,108.9,348.3,112.4,373.8,472.3,19.8,0,0,1487.5,1592,-6.6
Bhiwani,0,10.2,8.3,92.6,144.4,382,133.7,350.1,413.4,14.9,0,0,1549.6,1427.9,8.5
Faridabad,1.1,8.4,3.9,38.5,19.1,105.5,198.9,347.5,415.9,5.9,0,0,1144.8,1289.8,-11.2
Gurugram,0,2.2,4.5,42.6,31.1,147.2,242.3,215.4,314.3,2.8,0,0,1002.4,1418.5,-29.3
Hisar,23.1,48.2,3.7,21.9,132,274.5,227,416.2,338,13.4,0,4,1502.1,1424.3,5.5
Jhajar,0.9,11.1,1.8,16.6,155.3,281.1,245.1,265.1,311.3,32.5,0,0,1320.7,1514.6,-12.8
Jind,0,17.2,10.4,54.6,102.8,383.5,136.3,448.8,462,29.8,0,0,1645.1,1559.9,5.5
kaithal,0,1.9,20.9,34.3,114.2,421.4,228.6,293.8,380.8,13.7,0,0,1509.5,1556,-3
karnal,11.6,32.5,0.3,28.5,115.9,274.3,167.2,399,423.4,36.6,0,0,1489.2,1428.8,4.2
kurushetra,0,24.5,14.2,46.5,86.3,206.5,140.9,314.1,490.6,21.3,0,0,1344.9,1401.9,-4.1
mahendragargh,2.2,19.1,0.2,56.8,63.1,112.8,176.9,298.9,150,33.6,0,0.2,9138,1276.2,-28.4
Nuh,3.1,35.3,0,159.9,94.2,185.5,185.5,419,156.4,53.9,0,0.5,1293.2,1403.3,-7.8
Palwal,0,15.3,0,44.3,41.8,182.2,148.7,412.1,324.4,5.2,0,0,1174.1,133.5,-11.8
panchkula,0,2.7,0.2,49,75.9,79.6,178.7,393.9,342.4,0,0,0,1122.4,1286.4,-12.8
panipat,0,29.8,12,87.8,163.1,358.8,264.5,385.1,567,41.6,0.3,0,1910.1,1487.7,28.4
rewari,3.7,5.3,1.5,72.5,51.8,146.8,224.2,308.3,364.8,12.3,0.6,6.7,1198.4,1567.2,-23.5
rohtak,0,0,0,16.9,12.4,106.2,242.7,341,350.5,27.2,0,0,1096.9,1667.6,-34.2
sirsa,0,32.3,0.1,90,59,196.9,207.7,511.6,334.5,0.7,0,0,1432.8,1569.5,-8.7
sonipat,0,29.2,1,90.9,74.2,200.5,155.8,350.8,248.4,14.5,0,0.5,1165.9,1285.9,-9.3
yamunanagar,3.3,11.1,23.3,108.8,137.5,417.7,130.5,369.7,449.8,17.7,0.2,0,1669.3,1600.6,4.3
Charkhi dadri,13.6,14.3,10.7,87.4,68.6,228.4,202.8,388.1,286.9,40,0.1,0,1340.7,1427.9,-6.1
Fatehbad,0,8.1,0,27.5,37.7,115.5,139.1,473.9,444.4,0,0,0,1246.2,1623.1,-23.2
State Average,2.3,15.8,4.3,53.3,79.8,213.9,201.8,354.3,393.1,19.1,0,0.4,1338.1,1451.2,-7.8
