Year,Name of the Station,Jan,Feb,Mar,Apr,May ,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009,Ambala,78,63,72,70,72,79,88,83,78,76,76,63
2009,Bhiwani,91,80,86,75,75,86,93,89,83,77,90,90
2009,Faridabad,91,83,83,75,71,82,89,86,79,84,85,83
2009,Gurugram,88,86,82,83,79,83,90,87,81,82,89,78
2009,Hisar,89,81,80,71,71,83,94,91,85,84,85,73
2009,Jhajar,91,82,80,86,76,85,88,86,84,85,88,78
2009,Jind,85,84,81,84,83,85,92,90,84,82,86,74
2009,kaithal,89,50,NA,NA,57,75,90,NA,NA,65,85,55
2009,karnal,91,80,NA,NA,82,76,92,85,83,89,90,78
2009,kurushetra,78,61,37,42,48,80,87,85,81,79,73,69
2009,mahendragargh,77,67,59,43,62,80,87,87,80,82,78,61
2009,Nuh,83,68,61,66,50,82,85,87,83,82,82,76
2009,Palwal,60,NA,NA,46,41,84,NA,90,NA,NA,NA,NA
2009,panchkula,40,NA,43,NA,50,NA,NA,NA,NA,NA,80,55
2009,panipat,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
2009,rewari,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA
2009,rohtak,88,78,78,67,61,84,90,86,83,85,85,78
2009,sirsa,NA,NA,NA,NA,43,NA,NA,NA,NA,65,NA,NA
2009,sonipat,70,NA,74,NA,NA,82,NA,NA,78,NA,84,NA
2009,yamunanagar,NA,NA,NA,NA,74,NA,NA,NA,NA,78,NA,NA
2009,Charkhi dadri,NA,75,NA,75,NA,NA,80,NA,87,NA,NA,74
2009,Fatehbad,79,NA,NA,NA,NA,NA,NA,87,NA,NA,84,NA
