Year,Name of the Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,Ambala,71,63,66,67,69,76,83,80,79,79,63,65
2011,Bhiwani,,82,75,76,73,81,87,87,84,88,81,81
2011,Faridabad,85,79,78,77,75,77,83,87,86,89,78,79
2011,Gurugram,83,78,82,83,79,85,88,86,89,86,74,74
2011,Hisar,82,74,72,73,70,79,87,90,89,90,78,75
2011,Jhajar,86,77,81,83,84,87,83,85,84,87,78,79
2011,Jind,80,78,83,85,83,89,87,88,85,85,74,74
2011,kaithal,76,60,NA,65,63,69,82,83,82,NA,73,74
2011,karnal,NA,NA,NA,NA,74,81,90,88,92,94,85,88
2011,kurushetra,77,62,48,52,35,66,84,86,88,82,74,77
2011,mahendragargh,76,58,43,48,58,70,86,87,86,86,73,75
2011,Nuh,84,70,62,56,40,64,83,89,83,83,84,85
2011,Palwal,NA,NA,NA,NA,NA,57,82,83,86,78,NA,NA
2011,panchkula,NA,NA,NA,NA,18,50,85,83,86,76,69,58
2011,panipat,75,45,48,42,41,NA,NA,NA,NA,NA,NA,NA
2011,rewari,NA,NA,44,55,NA,61,52,60,62,64,56,42
2011,rohtak,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA
2011,sirsa,74,61,51,75,39,53,81,87,82,81,67,76
2011,sonipat,70,NA,74,NA,NA,82,NA,NA,78,NA,84,NA
2011,yamunanagar,NA,NA,NA,NA,74,NA,NA,NA,NA,78,NA,NA
2011,Charkhi dadri,NA,75,NA,75,NA,NA,80,NA,87,NA,NA,74
2011,Fatehbad,79,NA,NA,NA,NA,NA,NA,87,NA,NA,84,NA
