Year,Name of the Stations ,Jan,Feb,Mar,Apr,May ,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,Ambala,71,63,66,67,66,71,81,83,77,70,58,64
2012,Bhiwani,86,82,75,76,71,76,84,86,82,82,79,82
2012,Faridabad,85,79,78,77,71,72,84,86,82,82,74,78
2012,Gurugram,83,78,82,83,79,81,85,89,82,80,72,78
2012,Hisar,82,74,72,73,71,70,87,89,83,82,70,74
2012,Jhajar,86,77,81,83,79,78,82,82,78,82,77,81
2012,Jind,80,78,83,85,82,81,86,86,80,81,72,77
2012,kaithal,76,60,72,65,61,65,82,82,71,70,58,55
2012,karnal,87,83,78,NA,NA,NA,NA,NA,NA,NA,77,77
2012,kurushetra,77,62,48,52,52,70,85,89,81,75,65,72
2012,mahendragargh,76,58,43,48,50,71,83,85,83,79,66,74
2012,Nuh,84,70,62,56,56,66,84,88,82,83,82,83
2012,Palwal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,panchkula,45,46,43,35,NA,NA,NA,NA,NA,50,39,NA
2012,panipat,75,45,48,42,54,56,70,61,77,74,59,62
2012,rewari,62,55,44,55,61,76,83,NA,76,66,54,52
2012,rohtak,95,87,70,63,67,76,87,88,86,88,81,83
2012,sirsa,74,61,51,57,62,66,85,NA,79,NA,NA,NA
2012,sonipat,70,NA,74,NA,NA,82,NA,NA,78,NA,84,NA
2012,yamunanagar,NA,NA,NA,NA,74,NA,NA,NA,NA,78,NA,NA
2012,Charkhi dadri,NA,75,NA,75,NA,NA,80,NA,87,NA,NA,74
2012,Fatehbad,79,NA,NA,NA,NA,NA,NA,87,NA,NA,84,NA
