Year,Name of the station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
2013,Ambala,70,63,69,67,69,70,81,79,79,80,59,59
2013,Bhiwani,83,79,78,72,69,72,86,84,85,86,79,NA
2013,Faridabad,84,85,85,81,76,78,89,86,89,91,78,75
2013,Gurugram,80,80,81,82,80,82,89,87,86,90,75,71
2013,Hisar,74,75,78,74,73,74,89,86,90,89,75,68
2013,Jhajar,82,81,83,80,77,78,83,80,84,83,77,73
2013,Jind,77,83,85,84,82,83,86,84,84,86,71,68
2013,kaithal,58,61,66,68,65,61,80,75,NA,NA,NA,NA
2013,karnal,81,70,72,NA,65,70,89,86,85,90,78,71
2013,kurushetra,73,72,53,44,48,57,84,88,81,80,68,69
2013,mahendragargh,80,67,59,50,58,64,87,84,86,90,69,67
2013,Nuh,82,79,72,55,51,56,86,88,84,86,83,81
2013,Palwal,77,67,56,45,47,59,84,NA,78,82,69,75
2013,panchkula,49,47,44,49,60,69,90,86,78,70,59,52
2013,panipat,NA,53,49,39,43,52,79,85,77,85,66,67
2013,rewari,60,52,50,46,50,70,NA,NA,NA,NA,NA,NA
2013,rohtak,88,76,72,58,60,71,84,87,89,89,86,84
2013,sirsa,72,59,51,48,61,54,68,59,61,71,61,55
2013,sonipat,70,NA,74,NA,NA,82,NA,NA,78,NA,84,NA
2013,yamunanagar,NA,NA,NA,NA,74,NA,NA,NA,NA,78,NA,NA
2013,Charkhi dadri,NA,75,NA,75,NA,NA,80,NA,87,NA,NA,74
2013,Fatehbad,79,NA,NA,NA,NA,NA,NA,87,NA,NA,84,NA
