Year,Name of the station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,Ambala,62,71,67,65,67,79,80,81,82,68,69,63
2015,Bhiwani,77,82,79,70,71,82,84,85,87,82,81,79
2015,Faridabad,86,87,85,77,79,84,86,88,91,84,79,78
2015,Gurugram,81,81,80,80,79,86,87,85,87,78,78,75
2015,Hisar,73,79,78,74,75,83,87,88,93,83,76,69
2015,Jhajar,83,77,80,82,79,84,87,83,88,80,79,81
2015,Jind,75,74,77,81,78,84,85,81,85,76,73,72
2015,kaithal,62,63,61,57,47,68,82,80,78,71,59,61
2015,karnal,64,73,69,74,70,80,83,85,88,75,77,69
2015,kurushetra,65,68,55,48,53,67,87,87,86,74,74,73
2015,mahendragargh,67,75,70,64,69,76,84,87,91,75,76,70
2015,Nuh,78,81,67,59,57,73,87,88,87,86,84,84
2015,Palwal,67,65,56,52,54,70,88,90,88,77,75,79
2015,panchkula,73,66,59,56,53,80,88,89,89,77,74,78
2015,panipat,49,47,39,38,39,64,71,81,89,81,73,69
2015,rewari,57,54,41,40,47,66,83,82,85,74,61,66
2015,rohtak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,72
2015,sirsa,84,82,73,56,66,75,85,88,89,86,80,83
2015,sonipat,NA,NA,NA,NA,NBA,NA,NA,NA,NA,NA,NA,NA
2015,yamunanagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Charkhi dadri,70,NA,74,NA,NA,82,NA,NA,78,NA,84,NA
2015,Fatehbad,NA,NA,NA,NA,74,NA,NA,NA,NA,78,NA,NA
