"","Year","Name.of.the.Station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2011,"Ambala",71,63,66,67,69,76,83,80,79,79,63,65
"2",2011,"Bhiwani",78.4285714285714,82,75,76,73,81,87,87,84,88,81,81
"3",2011,"Faridabad",85,79,78,77,75,77,83,87,86,89,78,79
"4",2011,"Gurugram",83,78,82,83,79,85,88,86,89,86,74,74
"5",2011,"Hisar",82,74,72,73,70,79,87,90,89,90,78,75
"6",2011,"Jhajar",86,77,81,83,84,87,83,85,84,87,78,79
"7",2011,"Jind",80,78,83,85,83,89,87,88,85,85,74,74
"8",2011,"kaithal",76,60,64.7857142857143,65,63,69,82,83,82,82.875,73,74
"9",2011,"karnal",78.4285714285714,68.7142857142857,64.7857142857143,67.4666666666667,74,81,90,88,92,94,85,88
"10",2011,"kurushetra",77,62,48,52,35,66,84,86,88,82,74,77
"11",2011,"mahendragargh",76,58,43,48,58,70,86,87,86,86,73,75
"12",2011,"Nuh",84,70,62,56,40,64,83,89,83,83,84,85
"13",2011,"Palwal",78.4285714285714,68.7142857142857,64.7857142857143,67.4666666666667,60.8235294117647,57,82,83,86,78,75,73.5
"14",2011,"panchkula",78.4285714285714,68.7142857142857,64.7857142857143,67.4666666666667,18,50,85,83,86,76,69,58
"15",2011,"panipat",75,45,48,42,41,72.1764705882353,82.5294117647059,84.4705882352941,83.7777777777778,82.875,75,73.5
"16",2011,"rewari",78.4285714285714,68.7142857142857,44,55,60.8235294117647,61,52,60,62,64,56,42
"17",2011,"rohtak",78.4285714285714,68.7142857142857,64.7857142857143,67.4666666666667,59,72.1764705882353,82.5294117647059,84.4705882352941,83.7777777777778,82.875,75,73.5
"18",2011,"sirsa",74,61,51,75,39,53,81,87,82,81,67,76
"19",2011,"sonipat",70,68.7142857142857,74,67.4666666666667,60.8235294117647,82,82.5294117647059,84.4705882352941,78,82.875,84,73.5
"20",2011,"yamunanagar",78.4285714285714,68.7142857142857,64.7857142857143,67.4666666666667,74,72.1764705882353,82.5294117647059,84.4705882352941,83.7777777777778,78,75,73.5
"21",2011,"Charkhi dadri",78.4285714285714,75,64.7857142857143,75,60.8235294117647,72.1764705882353,80,84.4705882352941,87,82.875,75,74
"22",2011,"Fatehbad",79,68.7142857142857,64.7857142857143,67.4666666666667,60.8235294117647,72.1764705882353,82.5294117647059,87,83.7777777777778,82.875,84,73.5
