"","Year","Name.of.the.station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sept","Oct","Nov","Dec","Sep"
"1",2013,"Ambala",70,63,69,67,69,70,81,79,79,80,59,59,79
"2",2013,"Bhiwani",83,79,78,72,69,72,86,84,85,86,79,69.3125,85
"3",2013,"Faridabad",84,85,85,81,76,78,89,86,89,91,78,75,89
"4",2013,"Gurugram",80,80,81,82,80,82,89,87,86,90,75,71,86
"5",2013,"Hisar",74,75,78,74,73,74,89,86,90,89,75,68,90
"6",2013,"Jhajar",82,81,83,80,77,78,83,80,84,83,77,73,84
"7",2013,"Jind",77,83,85,84,82,83,86,84,84,86,71,68,84
"8",2013,"kaithal",58,61,66,68,65,61,80,75,NA,83.8823529411765,73.3888888888889,69.3125,82.2777777777778
"9",2013,"karnal",81,70,72,62.0555555555556,65,70,89,86,85,90,78,71,85
"10",2013,"kurushetra",73,72,53,44,48,57,84,88,81,80,68,69,81
"11",2013,"mahendragargh",80,67,59,50,58,64,87,84,86,90,69,67,86
"12",2013,"Nuh",82,79,72,55,51,56,86,88,84,86,83,81,84
"13",2013,"Palwal",77,67,56,45,47,59,84,83,78,82,69,75,78
"14",2013,"panchkula",49,47,44,49,60,69,90,86,78,70,59,52,78
"15",2013,"panipat",74.6842105263158,53,49,39,43,52,79,85,77,85,66,67,77
"16",2013,"rewari",60,52,50,46,50,70,84.1111111111111,83,NA,83.8823529411765,73.3888888888889,69.3125,82.2777777777778
"17",2013,"rohtak",88,76,72,58,60,71,84,87,89,89,86,84,89
"18",2013,"sirsa",72,59,51,48,61,54,68,59,61,71,61,55,61
"19",2013,"sonipat",70,69.6842105263158,74,62.0555555555556,63.5789473684211,82,84.1111111111111,83,78,83.8823529411765,84,69.3125,78
"20",2013,"yamunanagar",74.6842105263158,69.6842105263158,67.2105263157895,62.0555555555556,74,68.5263157894737,84.1111111111111,83,NA,78,73.3888888888889,69.3125,82.2777777777778
"21",2013,"Charkhi dadri",74.6842105263158,75,67.2105263157895,75,63.5789473684211,68.5263157894737,80,83,87,83.8823529411765,73.3888888888889,74,87
"22",2013,"Fatehbad",79,69.6842105263158,67.2105263157895,62.0555555555556,63.5789473684211,68.5263157894737,84.1111111111111,87,NA,83.8823529411765,84,69.3125,82.2777777777778
