"","Year","Name.of.the.station","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",2015,"Ambala",62,71,67,65,"67",79,80,81,82,68,69,63
"2",2015,"Bhiwani",77,82,79,70,"71",82,84,85,87,82,81,79
"3",2015,"Faridabad",86,87,85,77,"79",84,86,88,91,84,79,78
"4",2015,"Gurugram",81,81,80,80,"79",86,87,85,87,78,78,75
"5",2015,"Hisar",73,79,78,74,"75",83,87,88,93,83,76,69
"6",2015,"Jhajar",83,77,80,82,"79",84,87,83,88,80,79,81
"7",2015,"Jind",75,74,77,81,"78",84,85,81,85,76,73,72
"8",2015,"kaithal",62,63,61,57,"47",68,82,80,78,71,59,61
"9",2015,"karnal",64,73,69,74,"70",80,83,85,88,75,77,69
"10",2015,"kurushetra",65,68,55,48,"53",67,87,87,86,74,74,73
"11",2015,"mahendragargh",67,75,70,64,"69",76,84,87,91,75,76,70
"12",2015,"Nuh",78,81,67,59,"57",73,87,88,87,86,84,84
"13",2015,"Palwal",67,65,56,52,"54",70,88,90,88,77,75,79
"14",2015,"panchkula",73,66,59,56,"53",80,88,89,89,77,74,78
"15",2015,"panipat",49,47,39,38,"39",64,71,81,89,81,73,69
"16",2015,"rewari",57,54,41,40,"47",66,83,82,85,74,61,66
"17",2015,"rohtak",70.7222222222222,72.0588235294118,67.2222222222222,63.1176470588235,NA,76.8333333333333,84.3529411764706,85.1764705882353,86.7222222222222,78.0555555555556,72,72
"18",2015,"sirsa",84,82,73,56,"66",75,85,88,89,86,80,83
"19",2015,"sonipat",70.7222222222222,72.0588235294118,67.2222222222222,63.1176470588235,"NBA",76.8333333333333,84.3529411764706,85.1764705882353,86.7222222222222,78.0555555555556,74.9473684210526,73.3888888888889
"20",2015,"yamunanagar",70.7222222222222,72.0588235294118,67.2222222222222,63.1176470588235,NA,76.8333333333333,84.3529411764706,85.1764705882353,86.7222222222222,78.0555555555556,74.9473684210526,73.3888888888889
"21",2015,"Charkhi dadri",70,72.0588235294118,74,63.1176470588235,NA,82,84.3529411764706,85.1764705882353,78,78.0555555555556,84,73.3888888888889
"22",2015,"Fatehbad",70.7222222222222,72.0588235294118,67.2222222222222,63.1176470588235,"74",76.8333333333333,84.3529411764706,85.1764705882353,86.7222222222222,78,74.9473684210526,73.3888888888889
