Name of the Station,Jan(Max),Jan(Min),Feb(Max),Feb(Min) ,Mar(Max),Mar(Min) ,Apr(Max),Apr(Min) ,May(Max),May(Min) ,Jun(Max),Jun(Min),Jul(Max),Jul(Min),Aug(Max),Aug(Min) ,Sep(Max),Sep(Min),Oct(Max),Oct(Min),Nov(Max),Nov(Min),Dec(Max),Dec(Min)
Ambala,26,14,30,16,34,22,36,24,36,26,35,27,32,26,32,26,32,25,31,24,29,28,26,15
Bhiwani,NA,NA,31,17,36,22,37,25,37,26,36,26,32,26,30,25,32,24,31,23,30,17,26,13
Faridabad,28,14,31,15,37,21,36,23,37,26,36,25,32,24,32,24,32,23,31,22,31,17,27,14
Gurugram,26,16,29,20,31,24,31,26,34,28,32,27,31,27,31,26,32,26,31,26,31,21,28,17
Hisar,28,15,32,17,37,23,36,25,40,27,37,27,32,26,32,25,32,25,31,24,31,18,28,15
Jhajar,27,16,30,18,31,22,30,24,33,27,32,27,31,26,32,26,32,26,31,24,31,19,28,16
Jind,25,17,29,21,30,25,31,25,32,28,32,28,31,27,32,27,32,27,31,25,31,21,27,18
kaithal,28,10,31,12,NA,NA,39,21,36,23,38,24,32,23,32,22,31,22,NA,NA,29,14,27,10
karnal,NA,NA,NA,NA,NA,NA,NA,NA,39,26,36,27,31,26,33,26,32,26,30,23,28,17,25,14
kurushetra,27,13,30,14,37,20,39,25,42,28,39,27,32,25,31,25,30,25,29,23,30,16,26,13
mahendragargh,26,11,29,13,35,19,37,24,37,23,35,24,31,23,30,23,30,22,29,20,28,14,24,11
Nuh,27,11,30,14,36,18,38,24,43,24,39,23,33,22,31,21,30,20,32,19,29,12,26,9
Palwal,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,40,25,32,23,31,23,30,23,30,20,NA,NA,NA,NA
panchkula,NA,NA,NA,NA,NA,NA,NA,NA,43,26,40,27,31,23,30,24,30,24,31,20,30,15,26,10
panipat,28,,33,17,37,19,41,25,43,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rewari,NA,NA,NA,NA,34,19,34,21,39,NA,31,22,25,21,26,21,26,21,28,19,24,14,29,11
rohtak,NA,NA,NA,NA,NA,NA,NA,NA,40,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sirsa,29,12,32,12,39,18,41,21,45,29,41,27,32,24,32,23,31,23,32,21,31,15,29,11
sonipat,NA,20,NA,19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yamunanagar,29,NA,27,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
Charkhi dadri,NA,22,NA,NA,31,NA,23,NA,NA,24,NA,NA,29,NA,NA,25,NA,26,NA,NA,NA,NA,NA,NA
Fatehbad,28,NA,25,18,NA,24,NA,NA,35,27,NA,NA,NA,24,NA,NA,NA,NA,NA,19,NA,18,NA,17
