"","Name.of.the.station","Jan.Max.","Jan.Min.","Feb.Max.","Feb.Min.","Mar.Max.","Mar.Min.","Apr.Max.","Apr.Min.","May.Max.","May.Min.","Jun.Max.","Jun.Min.","Jul.Max.","Jul.Min.","Aug.Max.","Aug.Min.","Sep.Max.","Sep.Min.","Oct.Max.","Oct.Min.","Nov.Max.","Nov.Min.","Dec.Max.","Dec.Min."
"1","Ambala",26,13,29,19,32,21,36,25,39,27,34,25,34,27,32,26,31,25,32,23,29,18,27,15
"2","Bhiwani",27.7,15.4,31,19,36,21,38,25,41,27,35.625,25.875,37,25,30.8181818181818,25.1111111111111,31.625,25.1111111111111,34,23,30.1111111111111,15.4,29,15.7777777777778
"3","Faridabad",30,13,31,19,34,32,38,25,40,25,36,24,35,25,33,24,33,23,34,22,31,17,30,14
"4","Gurugram",27,16,30,21,31,24,33,26,34,27,33,27,33,27,31,26,31,26,32,25,30,21,30,17
"5","Hisar",29,15,32,20,35,22,40,26,38,27,35,26,34,26,32,25,32,25,33,24,30,18,31,15
"6","Jhajar",27,16,30,25,31,23,31,25,32,26,32,27,33,27,31,26,32,26,32,24,30,19,29,17
"7","Jind",27,17,29,22,31,25,32,27,33,27,33,28,33,28,31,27,32,27,32,26,30,20,29,18
"8","kaithal",27.7,15.4,32,16,31,17,40,22,43,25,35.625,25.875,33.3846153846154,25.9090909090909,30.8181818181818,25.1111111111111,31.625,25.1111111111111,34,23,30.1111111111111,15.4,29,15.7777777777778
"9","karnal",27.7,15.4,28,18,35,23,39,26,39.1666666666667,25.3529411764706,38,25.875,33.3846153846154,25.9090909090909,30.8181818181818,25.1111111111111,31.625,25.1111111111111,32,24,30.1111111111111,15.4,29,15.7777777777778
"10","kurushetra",28,12,30,17,35,20,41,26,42,27,36,26,34,26,31,24,32,25,33,22,30,16,29,13
"11","mahendragargh",26,10,29,16,32,17,38,22,38,24,33,24,31,25,29,23,30,23,31,20,29,14,27,15.7777777777778
"12","Nuh",27.7,15.4,32,12,35,16,41,22,42,28,35,25.875,34,25,33,25.1111111111111,31.625,25.1111111111111,33,23.375,32,15.4,29,15.7777777777778
"13","Palwal",27.7,15.4,30,15,34,17,41,24,42,27,39,25.875,33.3846153846154,25.9090909090909,30.8181818181818,25.1111111111111,31.625,25.1111111111111,32.6666666666667,23.375,30.1111111111111,15.4,29,15.7777777777778
"14","panchkula",27.7,15.4,33,17,36,18,40,23,41,26,41,25.875,33.3846153846154,25.9090909090909,30.8181818181818,25.1111111111111,31.625,25.1111111111111,34,20,30.1111111111111,15.4,29,15.7777777777778
"15","panipat",27.7,15.4,34,19,21,16,38,25,43,25.3529411764706,35,25.875,35,25.9090909090909,29,25.1111111111111,31.625,25.1111111111111,33,31,30.1111111111111,15.4,29,15.7777777777778
"16","rewari",27.7,15.4,30.4736842105263,18.1578947368421,32.6315789473684,20.8421052631579,37,24.4705882352941,39,25.3529411764706,37,25.875,33.3846153846154,25.9090909090909,30.8181818181818,25.1111111111111,31.625,25.1111111111111,32.6666666666667,22,30.1111111111111,15.4,29,15.7777777777778
"17","rohtak",27.7,15.4,31,14,33,16,38,22,39,18,33,25.875,32,25.9090909090909,27,25.1111111111111,31.625,25.1111111111111,31,26,30.1111111111111,15.4,29,15.7777777777778
"18","sirsa",27.7,15.4,36,19,37,20,41,25,44,19,40,25.875,33.3846153846154,25.9090909090909,30.8181818181818,25.1111111111111,31.625,25.1111111111111,32.6666666666667,23.375,30.1111111111111,15.4,29,15.7777777777778
"19","sonipat",27.7,20,30.4736842105263,19,30,20.8421052631579,37.1052631578947,24.4705882352941,39.1666666666667,25.3529411764706,35.625,25.875,33.3846153846154,25.9090909090909,30.8181818181818,25.1111111111111,31.625,25.1111111111111,32.6666666666667,23.375,30.1111111111111,15.4,29,15.7777777777778
"20","yamunanagar",29,15.4,27,18.1578947368421,32.6315789473684,24,37.1052631578947,24.4705882352941,39.1666666666667,25.3529411764706,35.625,25.875,33.3846153846154,25.9090909090909,30.8181818181818,25.1111111111111,31.625,25.1111111111111,32.6666666666667,23.375,30.1111111111111,15.4,29,16
"21","Charkhi dadri",27.7,22,30.4736842105263,18.1578947368421,31,20.8421052631579,23,24.4705882352941,39.1666666666667,24,35.625,25.875,29,25.9090909090909,30.8181818181818,25,31.625,26,32.6666666666667,23.375,30.1111111111111,15.4,29,15.7777777777778
"22","Fatehbad",28,15.4,25,18,32.6315789473684,24,37.1052631578947,24.4705882352941,35,27,35.625,25.875,33.3846153846154,24,30.8181818181818,25.1111111111111,31.625,25.1111111111111,32.6666666666667,19,30.1111111111111,18,29,17
