"","Name.of.the.Stations","Jan.Max.","Jan.Min.","Feb.Max.","Feb.Min.","Mar.Max.","Mar.Min.","Apr.Max.","Apr.Min.","May.Max.","May.Min.","Jun.Max.","Jun.Min.","Jul.Max.","Jul.Min.","Aug.Max.","Aug.Min.","Sep.Max.","Sep.Min.","Oct.Max.","Oct.Min.","Nov.Max.","Nov.Min.","Dec.Max.","Dec.Min."
"1","Ambala",26,15,31,16,34,22,35,24,36,26,36,27,26,15,31,16,34,22,35,24,36,26,36,27
"2","Bhiwani",27,17,31,18,35,23,38,26,39,28,37,27,27,17,31,18,35,23,38,26,39,28,37,27
"3","Faridabad",27.1944444444444,15.1470588235294,31,16.1176470588235,35.4705882352941,20.5,36.7352941176471,24.21875,39.40625,26.3235294117647,36.0625,26.34375,29.84375,22.4375,30.875,22.5,30.125,24.0294117647059,32.53125,21.4705882352941,30.71875,15.1470588235294,29.96875,16.6388888888889
"4","Gurugram",27,18,29,19,31,25,32,26,33,28,32,28,27,18,29,19,31,25,32,26,33,28,32,28
"5","Hisar",29,17,34,18,38,23,38,26,40,27,38,26,29,17,34,18,38,23,38,26,40,27,38,26
"6","Jhajar",28,19,30,20,32,24,32,26,33,27,33,28,30,26,31,26,33,26,32,24,30,21,29,18
"7","Jind",27,19,30,20,32,26,33,27,34,28,33,28,32,27,32,27,33,27,32,24,30,21,29,18
"8","kaithal",28,15,33,17,37,20,40,25,40,27,38,27,32,25,32,25,32,25,32,22,29,18,29,14
"9","karnal",25,12,31,13,37,18,38,21,43,23,38,24,32,22,32,22,32,21,31,20,27,18,25,11
"10","kurushetra",27,13,32,15,37,18,40,25,43,27,38,28,31,25,31,25,32,32,32,21,29,17,28,13
"11","mahendragargh",25,12,30,14,35,18,38,22,40,25,36,26,30,24,30,23,31,21,30,16,27,13,27,11
"12","Nuh",26,13,31,14.5,36.5,17.5,39.5,23.5,43.5,26.5,38,26.5,30.5,24,31,23.5,33,23.5,32.5,20,29.5,16.5,28.5,12.5
"13","Palwal",25,12,31,13,37,17,39,23,43,25,38,25,31,23,30,23,31,23,31,19,27,14,27,10
"14","panchkula",29,14,34,15,38,19,40,25,42,27,38,26,30,24,30,23,31,23,32,19,30,17,30,12
"15","panipat",28.5,12.5,34,14.5,38.5,16.5,41,22,43,24,38,25,30,23,30,22,3,22,32,19,29,18,28,15
"16","rewari",27.1944444444444,15.1470588235294,31,16.1176470588235,35.4705882352941,20.5,36.7352941176471,24.21875,39.40625,26.3235294117647,36.0625,26.34375,29.84375,22.4375,30.875,22.5,30.125,24.0294117647059,32.53125,21.4705882352941,30.71875,15.1470588235294,29.96875,16.6388888888889
"17","rohtak",27,12,32,12,36,14,38,20,39.40625,26.3235294117647,29,21,29.84375,22.4375,29,21,21,20,30,17,28,13,28,8
"18","sirsa",27.1944444444444,15.1470588235294,31,16.1176470588235,35.4705882352941,20.5,36.7352941176471,24.21875,39.40625,26.3235294117647,36.0625,26.34375,29.84375,22.4375,30.875,22.5,30.125,24.0294117647059,32.53125,21.4705882352941,30.71875,15.1470588235294,29.96875,16.6388888888889
"19","sonipat",28,15,33,17,38,20,40,26,43,28,37,29,31,25,31,26,32,26,31,23,28,19,28,16
"20","yamunanagar",29,15.1470588235294,27,16.1176470588235,35.4705882352941,24,36.7352941176471,24.21875,39.40625,26.3235294117647,36.0625,26.34375,29.84375,22.4375,30.875,22.5,30.125,24.0294117647059,32.53125,21.4705882352941,30.71875,15.1470588235294,29.96875,16
"21","Charkhi dadri",27.1944444444444,22,31,16.1176470588235,31,20.5,23,24.21875,39.40625,24,36.0625,26.34375,29,22.4375,30.875,25,30.125,26,32.53125,21.4705882352941,30.71875,15.1470588235294,29.96875,16.6388888888889
"22","Fatehbad",28,15.1470588235294,25,18,35.4705882352941,24,36.7352941176471,24.21875,35,27,36.0625,26.34375,29.84375,24,30.875,22.5,30.125,24.0294117647059,32.53125,19,30.71875,18,29.96875,17
